name,id,longitude_deg,latitude_deg
Station,NOID,76.9523773,8.4866264
Station,NOID,86.4286452,23.7914633
Station,NOID,75.9196451,14.4680009
Station,NOID,80.2769887,13.0795588
Station,NOID,80.2726952,13.0806174
Station,NOID,80.2824177,13.0826973
Station,NOID,80.2819713,13.1089141
Station,NOID,80.2712883,13.1020947
Station,NOID,74.0020942,18.4573138
Station,NOID,73.9544701,18.4728289
Station,NOID,74.0642677,18.4628503
Station,NOID,74.1182559,18.4257866
Station,NOID,74.1870429,18.4138785
Station,NOID,74.1716540,18.2871869
Station,NOID,74.1554946,18.3842914
Station,NOID,73.7647280,18.6486752
Station,NOID,73.7917363,18.6403474
Station,NOID,73.8327748,18.5808457
Station,NOID,73.8208504,18.6081174
Station,NOID,73.8019932,18.6231854
Station,NOID,84.8682074,19.3306056
Station,NOID,74.1369618,18.4937216
Station,NOID,76.9234491,15.1456061
Station,NOID,67.3250771,29.8639228
Kurduvadi Junction,KWV,75.4179596,18.0918330
Palghar,PLG,72.7718901,19.6989241
Atari,ATT,74.6076255,31.5945777
Doraha,DOA,76.0437233,30.8040813
Nilaje,NIIJ,73.0803710,19.1546446
Chintadripet,MCPT,80.2738180,13.0744312
Greenways Road,GWYR,80.2525988,13.0214775
Kotturpuram,KPTM,80.2484402,13.0145652
Indira Nagar,INDR,80.2498100,12.9958128
Taramani,TRMN,80.2410567,12.9786135
Perungudi,PRGD,80.2320097,12.9758476
Velachery,VLCY,80.2194914,12.9672930
Bangalore Cantonment,BNC:1,77.5980486,12.9938531
Mandaveli,MNDY,80.2605783,13.0278907
Thirumayliai,MTMY,80.2674139,13.0352610
Lighthouse,MLHS,80.2767302,13.0449287
Chetpet,MSC,80.2426015,13.0741218
Kasturibai Nagar,KTBR,80.2478338,13.0062997
Thiruvanmiyur,TYMR,80.2515797,12.9888263
Dwarka,DWK,77.0227861,28.6149318
Station,CMP,80.1410589,12.9515795
Station,TLM,80.1657407,12.9802267
Station,PZA,80.1880450,12.9906065
Station,STM,80.1993886,12.9948952
Station,MN,80.1749398,12.9845195
Station,PV,80.1524000,12.9679000
Ghaziabad,GZB,77.4280562,28.6530641
Dankuni,DKAE,88.2907291,22.6779770
Sealdah,SDAH,88.3711047,22.5679661
Bengaluru East,BNCE,77.6180392,13.0014847
Bellandur Road,BLRR,77.7073017,12.9373180
Station,GDY:2;3,80.2127080,13.0083355
Tambaram,TBM,80.1204848,12.9269774
Kanchipuram,CJ,79.7052303,12.8484576
Hoshiarpur,HSX,75.9058745,31.5244576
Chengelpet Suburban,CGL,79.9809874,12.6933789
Etawah,ETW,79.0209671,26.7872369
Kozhikode,CLT,75.7809589,11.2463579
Badlapur,BUD,73.2384562,19.1668539
Lonavala,LNL,73.4082044,18.7492510
Wellington,WEL,76.7862025,11.3566101
Ketti,KXT,76.7374181,11.3820275
Lovedale,LOV,76.7047401,11.3835806
Vaniyambadi,VN,78.6221127,12.6785270
Khairatabad,KQD,78.4611879,17.4129881
